"ID","value_eur","wage_eur","League","club_name","Name","Age","Photo","Nationality","Flag","Overall","Potential","Club","Club Logo","Value","Wage","Special","Preferred Foot","International Reputation","Weak Foot","Skill Moves","Work Rate","Body Type","Real Face","Joined","Loaned From","Contract Valid Until","Height","Weight","Crossing","Finishing","HeadingAccuracy","ShortPassing","Dribbling","FKAccuracy","LongPassing","BallControl","Acceleration","SprintSpeed","Reactions","ShotPower","Stamina","Strength","LongShots","Aggression","Penalties","StandingTackle","GKDiving","GKHandling","GKKicking","GKPositioning","GKReflexes","Position","Best Overall Rating","ReleaseClause"
165153,6.6e+07,350000,"Spain Primera Division","Real Madrid CF","K. Benzema",33,"https://cdn.sofifa.com/players/165/153/22_60.png","France","https://cdn.sofifa.com/flags/fr.png",89,89,"Real Madrid CF","https://cdn.sofifa.com/teams/243/30.png","€66M","€350K",2116,"Right",4,4,4,"Medium/ Medium","Normal (170-185)","Yes","Jul 9, 2009","nan","2023","185cm","81kg",75,90,89,86,"87",73,73,90,77,"75",91,85,"78",82,79,63,84,24,13,11,5,5,7,"CF",89,"€135.3M"
192985,125500000,350000,"English Premier League","Manchester City","K. De Bruyne",30,"https://cdn.sofifa.com/players/192/985/22_60.png","Belgium","https://cdn.sofifa.com/flags/be.png",91,91,"Manchester City","https://cdn.sofifa.com/teams/10/30.png","€125.5M","€350K",2304,"Right",4,5,4,"High/ High","Unique","Yes","Aug 30, 2015","nan","2025","181cm","70kg",94,82,55,94,"88",83,93,91,76,"76",91,91,"89",74,91,76,83,65,15,13,5,10,13,"CM",91,"€232.2M"
158023,7.8e+07,320000,"French Ligue 1","Paris Saint-Germain","L. Messi",34,"https://cdn.sofifa.com/players/158/023/22_60.png","Argentina","https://cdn.sofifa.com/flags/ar.png",93,93,"Paris Saint-Germain","https://cdn.sofifa.com/teams/73/30.png","€78M","€320K",2219,"Left",5,4,4,"Medium/ Low","Unique","Yes","Aug 10, 2021","nan","2023","170cm","72kg",85,95,70,91,"96",94,91,96,91,"80",94,86,"72",69,94,44,75,35,6,11,15,14,8,"RW",93,"€144.3M"
182521,7.5e+07,310000,"Spain Primera Division","Real Madrid CF","T. Kroos",31,"https://cdn.sofifa.com/players/182/521/22_60.png","Germany","https://cdn.sofifa.com/flags/de.png",88,88,"Real Madrid CF","https://cdn.sofifa.com/teams/243/30.png","€75M","€310K",2148,"Right",4,5,3,"Medium/ Medium","Normal (170-185)","Yes","Jul 17, 2014","nan","2023","183cm","76kg",88,77,58,93,"80",84,93,88,55,"52",90,89,"75",72,86,60,73,73,10,11,13,7,10,"CM",88,"€153.8M"
200145,8.8e+07,310000,"Spain Primera Division","Real Madrid CF","Casemiro",29,"https://cdn.sofifa.com/players/200/145/22_60.png","Brazil","https://cdn.sofifa.com/flags/br.png",89,89,"Real Madrid CF","https://cdn.sofifa.com/teams/243/30.png","€88M","€310K",2219,"Right",3,3,2,"High/ High","Unique","Yes","Jul 11, 2013","nan","2025","185cm","84kg",58,64,79,84,"69",74,84,79,60,"69",87,88,"89",90,81,91,66,88,13,14,16,12,12,"CDM",89,"€180.4M"
202652,107500000,290000,"English Premier League","Manchester City","R. Sterling",26,"https://cdn.sofifa.com/players/202/652/22_60.png","England","https://cdn.sofifa.com/flags/gb-eng.png",88,89,"Manchester City","https://cdn.sofifa.com/teams/10/30.png","€107.5M","€290K",2113,"Right",4,3,4,"High/ Medium","Unique","Yes","Jul 14, 2015","nan","2023","170cm","69kg",79,85,46,83,"87",72,69,86,95,"88",90,78,"79",64,83,59,67,53,15,12,12,15,9,"LW",88,"€206.9M"
20801,4.5e+07,270000,"English Premier League","Manchester United","Cristiano Ronaldo",36,"https://cdn.sofifa.com/players/020/801/22_60.png","Portugal","https://cdn.sofifa.com/flags/pt.png",91,91,"Manchester United","https://cdn.sofifa.com/teams/11/30.png","€45M","€270K",2208,"Right",5,4,5,"High/ Low","Unique","Yes","Aug 27, 2021","nan","2023","187cm","83kg",87,95,90,80,"88",84,77,88,85,"88",94,94,"77",77,93,63,88,32,7,11,15,14,11,"ST",91,"€83.3M"
188545,119500000,270000,"German 1. Bundesliga","FC Bayern München","R. Lewandowski",32,"https://cdn.sofifa.com/players/188/545/22_60.png","Poland","https://cdn.sofifa.com/flags/pl.png",92,92,"FC Bayern München","https://cdn.sofifa.com/teams/21/30.png","€119.5M","€270K",2212,"Right",5,4,4,"High/ Medium","Unique","Yes","Jul 1, 2014","nan","2023","185cm","81kg",71,95,90,85,"85",85,70,88,77,"79",93,90,"76",86,87,81,90,42,15,6,12,8,10,"ST",92,"€197.2M"
190871,1.29e+08,270000,"French Ligue 1","Paris Saint-Germain","Neymar Jr",29,"https://cdn.sofifa.com/players/190/871/22_60.png","Brazil","https://cdn.sofifa.com/flags/br.png",91,91,"Paris Saint-Germain","https://cdn.sofifa.com/teams/73/30.png","€129M","€270K",2183,"Right",5,5,5,"High/ Medium","Unique","Yes","Aug 3, 2017","nan","2025","175cm","68kg",85,83,63,86,"95",87,81,95,93,"89",89,80,"81",53,81,63,93,32,9,9,15,15,11,"LW",91,"€238.7M"
208722,1.01e+08,270000,"English Premier League","Liverpool","S. Mané",29,"https://cdn.sofifa.com/players/208/722/22_60.png","Senegal","https://cdn.sofifa.com/flags/sn.png",89,89,"Liverpool","https://cdn.sofifa.com/teams/9/30.png","€101M","€270K",2192,"Right",4,4,4,"High/ Medium","Unique","Yes","Jul 1, 2016","nan","2023","175cm","69kg",78,86,84,84,"90",64,71,88,93,"90",91,83,"85",72,80,75,71,42,10,10,15,7,14,"LW",89,"€186.9M"
209331,1.01e+08,270000,"English Premier League","Liverpool","M. Salah",29,"https://cdn.sofifa.com/players/209/331/22_60.png","Egypt","https://cdn.sofifa.com/flags/eg.png",89,89,"Liverpool","https://cdn.sofifa.com/teams/9/30.png","€101M","€270K",2211,"Left",4,3,4,"High/ Medium","Unique","Yes","Jul 1, 2017","nan","2023","175cm","71kg",79,91,59,84,"90",69,75,89,89,"91",92,82,"85",75,84,63,86,43,14,14,9,11,14,"RW",89,"€186.9M"
153079,5.1e+07,260000,"Spain Primera Division","FC Barcelona","S. Agüero",33,"https://cdn.sofifa.com/players/153/079/22_60.png","Argentina","https://cdn.sofifa.com/flags/ar.png",87,87,"FC Barcelona","https://cdn.sofifa.com/teams/241/30.png","€51M","€260K",2068,"Right",4,4,4,"High/ Medium","Unique","Yes","Jul 1, 2021","nan","2023","173cm","70kg",70,93,78,80,"86",73,64,88,75,"68",89,90,"62",74,83,65,75,29,13,15,6,11,14,"ST",87,"€104.6M"
192505,93500000,260000,"English Premier League","Chelsea","R. Lukaku",28,"https://cdn.sofifa.com/players/192/505/22_60.png","Belgium","https://cdn.sofifa.com/flags/be.png",88,88,"Chelsea","https://cdn.sofifa.com/teams/5/30.png","€93.5M","€260K",2064,"Left",4,4,3,"Medium/ Medium","Unique","Yes","Aug 12, 2021","nan","2026","191cm","94kg",73,92,89,77,"83",66,70,77,81,"87",91,89,"71",95,74,71,88,41,8,15,14,7,10,"ST",88,"€173M"
192119,85500000,250000,"Spain Primera Division","Real Madrid CF","T. Courtois",29,"https://cdn.sofifa.com/players/192/119/22_60.png","Belgium","https://cdn.sofifa.com/flags/be.png",89,91,"Real Madrid CF","https://cdn.sofifa.com/teams/243/30.png","€85.5M","€250K",1327,"Left",4,3,1,"Medium/ Medium","Unique","Yes","Aug 9, 2018","nan","2026","199cm","96kg",14,14,13,33,"13",20,35,23,42,"52",84,56,"38",70,17,23,27,18,84,89,74,86,88,"GK",89,"€181.7M"
192448,9.9e+07,250000,"Spain Primera Division","FC Barcelona","M. ter Stegen",29,"https://cdn.sofifa.com/players/192/448/22_60.png","Germany","https://cdn.sofifa.com/flags/de.png",90,92,"FC Barcelona","https://cdn.sofifa.com/teams/241/30.png","€99M","€250K",1444,"Right",4,4,1,"Medium/ Medium","Unique","Yes","Jul 1, 2014","nan","2025","187cm","85kg",18,14,11,61,"21",12,63,30,38,"50",86,66,"35",78,10,43,25,13,88,85,88,88,90,"GK",90,"€210.4M"
212198,107500000,250000,"English Premier League","Manchester United","Bruno Fernandes",26,"https://cdn.sofifa.com/players/212/198/22_60.png","Portugal","https://cdn.sofifa.com/flags/pt.png",88,89,"Manchester United","https://cdn.sofifa.com/teams/11/30.png","€107.5M","€250K",2341,"Right",3,3,4,"High/ High","Unique","Yes","Jan 30, 2020","nan","2025","179cm","69kg",87,83,64,91,"83",87,88,87,77,"73",91,89,"91",70,89,78,91,73,12,14,15,8,14,"CAM",88,"€206.9M"
183277,5.2e+07,240000,"Spain Primera Division","Real Madrid CF","E. Hazard",30,"https://cdn.sofifa.com/players/183/277/22_60.png","Belgium","https://cdn.sofifa.com/flags/be.png",85,85,"Real Madrid CF","https://cdn.sofifa.com/teams/243/30.png","€52M","€240K",2055,"Right",4,4,4,"Medium/ Medium","Unique","Yes","Jul 1, 2019","nan","2024","175cm","74kg",77,78,61,85,"89",79,81,88,86,"82",79,82,"77",61,77,54,87,27,11,12,6,8,8,"LW",85,"€106.6M"
202126,129500000,240000,"English Premier League","Tottenham Hotspur","H. Kane",27,"https://cdn.sofifa.com/players/202/126/22_60.png","England","https://cdn.sofifa.com/flags/gb-eng.png",90,90,"Tottenham Hotspur","https://cdn.sofifa.com/teams/18/30.png","€129.5M","€240K",2205,"Right",4,5,3,"High/ High","Unique","Yes","Jul 28, 2010","nan","2024","188cm","89kg",80,94,86,85,"83",65,86,85,65,"74",92,91,"83",85,86,80,91,36,8,10,11,14,11,"ST",90,"€246.1M"
203376,8.6e+07,230000,"English Premier League","Liverpool","V. van Dijk",29,"https://cdn.sofifa.com/players/203/376/22_60.png","Netherlands","https://cdn.sofifa.com/flags/nl.png",89,89,"Liverpool","https://cdn.sofifa.com/teams/9/30.png","€86M","€230K",2104,"Right",4,3,2,"Medium/ Medium","Unique","Yes","Jan 1, 2018","nan","2025","193cm","92kg",53,52,87,79,"70",70,86,76,66,"88",87,81,"69",92,64,83,62,92,13,10,13,11,11,"CB",89,"€159.1M"
